,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
47049056,13010B00-,0,BOUWEL-KERN,BOUWEL-KERN,BOUWEL-KERN,TOTAL,TOTAL,8.0,257500.0,260000.0,339950.0,563.5,703.5,786.0
47049065,13010B01-,0,LANGENHEUVEL,LANGENHEUVEL,LANGENHEUVEL,TOTAL,TOTAL,5.0,226000.0,226000.0,226000.0,624.0,870.0,870.0
47049108,13011A00-,0,HERENTALS-CENTRUM,HERENTALS-CENTRUM,HERENTALS-CENTRUM,VENTEIMMEUB,TOTAL,16.0,195000.0,199000.0,220000.0,30.0,60.0,90.0
47049110,13011A00-,0,HERENTALS-CENTRUM,HERENTALS-CENTRUM,HERENTALS-CENTRUM,TOTAL,TOTAL,22.0,195000.0,209500.0,285000.0,30.0,90.0,179.0
47049117,13011A02-,0,HERENTALS - STADSVELD,HERENTALS - STADSVELD,HERENTALS - STADSVELD,VENTEIMMEUB,TOTAL,12.0,180000.0,242000.0,268000.0,119.0,142.5,521.0
47049119,13011A02-,0,HERENTALS - STADSVELD,HERENTALS - STADSVELD,HERENTALS - STADSVELD,TOTAL,TOTAL,18.0,140000.0,230000.0,268000.0,125.0,193.5,371.0
47049126,13011A03-,0,DE POEL,DE POEL,DE POEL,VENTEIMMEUB,TOTAL,15.0,16000.0,103500.0,203000.0,18.0,22.0,197.0
47049128,13011A03-,0,DE POEL,DE POEL,DE POEL,TOTAL,TOTAL,25.0,16000.0,103500.0,203000.0,18.0,197.0,205.0
47049135,13011A040,0,HERENTALS - STATIONSWIJK,HERENTALS - STATIONSWIJK,HERENTALS - STATIONSWIJK,VENTEIMMEUB,TOTAL,21.0,145000.0,230000.0,255000.0,67.5,125.0,198.5
47049137,13011A040,0,HERENTALS - STATIONSWIJK,HERENTALS - STATIONSWIJK,HERENTALS - STATIONSWIJK,TOTAL,TOTAL,26.0,200000.0,230000.0,255000.0,75.0,170.0,227.0
47049146,13011A05-,0,WUYTSBERGEN,WUYTSBERGEN,WUYTSBERGEN,TOTAL,TOTAL,5.0,20000.0,227000.0,317500.0,430.5,660.0,861.0
47049180,13011A100,0,SPAANS HOF - KAPELLENBLOK,SPAANS HOF - KAPELLENBLOK,SPAANS HOF - KAPELLENBLOK,VENTEIMMEUB,TOTAL,6.0,300000.0,352500.0,1738000.0,266.0,604.5,1865.0
47049182,13011A100,0,SPAANS HOF - KAPELLENBLOK,SPAANS HOF - KAPELLENBLOK,SPAANS HOF - KAPELLENBLOK,TOTAL,TOTAL,14.0,125000.0,250000.0,355000.0,320.0,414.5,800.0
47049191,13011A111,0,POEDERLEESEWEG,POEDERLEESEWEG,POEDERLEESEWEG,TOTAL,TOTAL,7.0,50000.0,135000.0,220000.0,722.0,1501.0,1702.0
47049234,13011A200,0,MOLENKENS - VELDHOVEN,MOLENKENS - VELDHOVEN,MOLENKENS - VELDHOVEN,VENTEIMMEUB,TOTAL,7.0,290000.0,447000.0,450000.0,108.0,693.0,1123.0
47049236,13011A200,0,MOLENKENS - VELDHOVEN,MOLENKENS - VELDHOVEN,MOLENKENS - VELDHOVEN,TOTAL,TOTAL,14.0,220000.0,368500.0,450000.0,108.0,503.5,745.0
47049270,13011A301,0,EIGEN HAARD,EIGEN HAARD,EIGEN HAARD,VENTEIMMEUB,TOTAL,15.0,247500.0,256000.0,265000.0,280.0,314.0,382.0
47049272,13011A301,0,EIGEN HAARD,EIGEN HAARD,EIGEN HAARD,TOTAL,TOTAL,18.0,247500.0,256000.0,265000.0,297.0,382.0,589.5
47049326,13011B011,0,WOUD,WOUD,WOUD,TOTAL,TOTAL,6.0,300000.0,300000.0,300000.0,729.5,1269.5,1785.0
47049371,13011B091,0,NOORDERWIJK-VERSPR. BEWONING,NOORDERWIJK-VERSPR. BEWONING,NOORDERWIJK-VERSPR. BEWONING,TOTAL,TOTAL,5.0,44400.0,48405.0,52410.0,1473.0,2607.0,8735.0
47049378,13011B100,0,ZANDKAPEL,ZANDKAPEL,ZANDKAPEL,VENTEIMMEUB,TOTAL,7.0,150000.0,177500.0,205000.0,144.0,362.0,797.0
